State,Crop_Year,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Maharashtra,1997,Arhar/Tur,Kharif     ,1005600,348000,1156.1,95702952,311736,0.3325
Maharashtra,1997,Bajra,Kharif     ,1671200,1119000,1156.1,159048104,518072,0.632272727
Maharashtra,1997,Cotton(lint),Whole Year ,31292,1753100,1156.1,2978059.64,9700.52,95.99391304
Maharashtra,1997,Gram,Kharif     ,717100,295900,1156.1,68246407,222301,0.408148148
Maharashtra,1997,Jowar,Kharif     ,2013200,2632300,1156.1,191596244,624092,1.6468
Maharashtra,1997,Jowar,Rabi       ,3487000,1357500,1156.1,331857790,1080970,0.442083333
Maharashtra,1997,Maize,Autumn     ,21,19695,1156.1,1998.57,6.51,989.87
Maharashtra,1997,Maize,Kharif     ,187600,219700,1156.1,17853892,58156,1.082083333
Maharashtra,1997,Maize,Rabi       ,45800,65400,1156.1,4358786,14198,1.476875
Maharashtra,1997,Maize,Summer     ,7500,12500,1156.1,713775,2325,1.407777778
Maharashtra,1997,Moong(Green Gram),Kharif     ,612100,221000,1156.1,58253557,189751,0.444444444
Maharashtra,1997,Other  Rabi pulses,Rabi       ,12830,492,1156.1,1221031.1,3977.3,0.0476
Maharashtra,1997,Ragi,Kharif     ,156600,146800,1156.1,14903622,48546,0.969090909
Maharashtra,1997,Rice,Kharif     ,1339000,2330000,1156.1,127432630,415090,8.778275862
Maharashtra,1997,Rice,Summer     ,329,646,1156.1,31310.93,101.99,2.018888889
Maharashtra,1997,Sugarcane,Kharif     ,183300,158866,1156.1,17444661,56823,0.863333333
Maharashtra,1997,Urad,Kharif     ,525400,210300,1156.1,50002318,162874,0.489310345
Maharashtra,1997,Wheat,Rabi       ,747300,670600,1156.1,71120541,231663,0.8476
Maharashtra,1998,Arhar/Tur,Kharif     ,1006700,808900,1314.8,99461960,291943,0.6425
Maharashtra,1998,Bajra,Kharif     ,1759700,1492500,1314.8,173858360,510313,0.739545455
Maharashtra,1998,Castor seed,Kharif     ,10100,2900,1314.8,997880,2929,0.277
Maharashtra,1998,Cotton(lint),Kharif     ,3199100,2618900,1314.8,316071080,927739,1.040434783
Maharashtra,1998,Gram,Rabi       ,904200,561900,1314.8,89334960,262218,0.615714286
Maharashtra,1998,Groundnut,Kharif     ,407700,474600,1314.8,40280760,118233,0.877777778
Maharashtra,1998,Groundnut,Summer     ,134800,192700,1314.8,13318240,39092,1.293103448
Maharashtra,1998,Jowar,Kharif     ,1954900,2785300,1314.8,193144120,566921,1.37375
Maharashtra,1998,Jowar,Rabi       ,2820200,1698300,1314.8,278635760,817858,0.6376
Maharashtra,1998,Linseed,Rabi       ,104000,27500,1314.8,10275200,30160,0.288
Maharashtra,1998,Maize,Kharif     ,200400,400400,1314.8,19799520,58116,1.952608696
Maharashtra,1998,Maize,Rabi       ,58800,87600,1314.8,5809440,17052,1.399444444
Maharashtra,1998,Maize,Summer     ,10900,17500,1314.8,1076920,3161,1.426666667
Maharashtra,1998,Moong(Green Gram),Kharif     ,649100,375700,1314.8,64131080,188239,0.603928571
Maharashtra,1998,Niger seed,Kharif     ,68500,18700,1314.8,6767800,19865,0.3065
Maharashtra,1998,Other  Rabi pulses,Rabi       ,138600,55900,1314.8,13693680,40194,0.50037037
Maharashtra,1998,Other Cereals,Kharif     ,123400,72700,1314.8,12191920,35786,0.646
Maharashtra,1998,Other Cereals,Rabi       ,20500,23400,1314.8,2025400,5945,1.0475
Maharashtra,1998,Other Kharif pulses,Kharif     ,276300,116900,1314.8,27298440,80127,0.407586207
Maharashtra,1998,Ragi,Kharif     ,157000,159100,1314.8,15511600,45530,1.03
Maharashtra,1998,Rapeseed &Mustard,Rabi       ,12400,2400,1314.8,1225120,3596,0.178076923
Maharashtra,1998,Rice,Kharif     ,1445700,2395100,1314.8,142835160,419253,1.267241379
Maharashtra,1998,Rice,Summer     ,37400,72500,1314.8,3695120,10846,2.053333333
Maharashtra,1998,Safflower,Rabi       ,321300,176300,1314.8,31744440,93177,0.580434783
Maharashtra,1998,Sesamum,Kharif     ,130700,41400,1314.8,12913160,37903,0.33
Maharashtra,1998,Sesamum,Rabi       ,11800,2000,1314.8,1165840,3422,0.168421053
Maharashtra,1998,Soyabean,Kharif     ,1055300,1471900,1314.8,104263640,306037,1.3276
Maharashtra,1998,Sugarcane,Kharif     ,529800,47151100,1314.8,52344240,153642,84.55434783
Maharashtra,1998,Sunflower,Kharif     ,167800,56300,1314.8,16578640,48662,0.3435
Maharashtra,1998,Sunflower,Rabi       ,257900,129900,1314.8,25480520,74791,0.5684
Maharashtra,1998,Sunflower,Summer     ,15200,12000,1314.8,1501760,4408,0.839047619
